failure_id,machine_id,failure_timestamp,component_failed,downtime_hours,failure_severity,failure_occurred,failure_within_24h,failure_within_7d,root_cause_category,root_cause_subcategory,confidence_label,engineer_verified,pre_failure_anomaly_window_hours,max_temperature_c_72h,max_vibration_x_72h,max_motor_current_a_72h,min_lubricant_quality_72h,diagnostic_summary,recommended_action
F00012,M020,2020-02-14T01:50:00,battery_pack,17.7,Major,1,1,1,sensor_or_control,audio driver distortion,0.79,True,72,42.71,0.054,0.395,82.29,battery_pack failed after a 72-hour sensor_or_control pattern connected to audio driver distortion. Sensor rows in that window carry related_failure_id=F00012.,check power supply and wiring
F00013,M003,2020-02-14T15:08:00,circulation_pump,1.72,Minor,1,1,1,overheating,heater fault,0.87,False,72,76.02,0.643,9.865,68.44,circulation_pump failed after a 72-hour overheating pattern connected to heater fault. Sensor rows in that window carry related_failure_id=F00013.,schedule immediate service
F00014,M020,2020-02-23T06:14:00,audio_driver,2.5,Minor,1,1,1,electrical_fault,charging port fault,0.85,True,72,44.61,0.06,0.623,86.0,audio_driver failed after a 72-hour electrical_fault pattern connected to charging port fault. Sensor rows in that window carry related_failure_id=F00014.,reset and recalibrate sensor
F00015,M009,2020-02-25T09:58:00,induction_coil,2.02,Minor,1,1,1,sensor_or_control,temperature sensor drift,0.84,True,48,179.87,0.369,20.473,48.02,induction_coil failed after a 48-hour sensor_or_control pattern connected to temperature sensor drift. Sensor rows in that window carry related_failure_id=F00015.,check power supply and wiring
F00016,M012,2020-03-02T13:13:15,blade_motor,1.1,Minor,1,1,1,electrical_fault,charging port fault,0.88,True,72,42.71,0.527,1.235,49.71,blade_motor failed after a 72-hour electrical_fault pattern connected to charging port fault. Sensor rows in that window carry related_failure_id=F00016.,reset and recalibrate sensor
F00017,M006,2020-03-04T09:18:00,image_sensor,6.1,Moderate,1,1,1,electrical_fault,battery voltage sag,0.96,True,72,41.26,0.315,3.435,63.0,image_sensor failed after a 72-hour electrical_fault pattern connected to battery voltage sag. Sensor rows in that window carry related_failure_id=F00017.,reset and recalibrate sensor
F00018,M011,2020-03-06T21:47:00,turntable_motor,4.96,Moderate,1,1,1,sensor_or_control,door interlock fault,0.81,True,72,106.66,0.238,9.233,66.06,turntable_motor failed after a 72-hour sensor_or_control pattern connected to door interlock fault. Sensor rows in that window carry related_failure_id=F00018.,reset and recalibrate sensor
F00019,M001,2020-03-07T18:33:00,door_seal,0.89,Minor,1,1,1,overheating,heating element degradation,0.82,True,48,260.88,0.107,17.394,69.29,door_seal failed after a 48-hour overheating pattern connected to heating element degradation. Sensor rows in that window carry related_failure_id=F00019.,schedule immediate service
F00020,M008,2020-03-08T00:03:00,feed_roller,1.36,Minor,1,1,1,blockage_or_jam,paper path obstruction,0.8,True,72,40.51,0.831,3.565,38.13,feed_roller failed after a 72-hour blockage_or_jam pattern connected to paper path obstruction. Sensor rows in that window carry related_failure_id=F00020.,clean or clear obstruction
F00021,M005,2020-03-08T18:46:00,power_board,24.0,Major,1,1,1,wear_or_lubrication,pan tilt motor binding,0.88,True,72,51.86,0.316,1.348,33.54,power_board failed after a 72-hour wear_or_lubrication pattern connected to pan tilt motor binding. Sensor rows in that window carry related_failure_id=F00021.,inspect component and replace if worn
F00022,M017,2020-03-18T09:34:00,thermal_sensor,12.89,Major,1,1,1,electrical_fault,power relay fault,0.92,True,72,85.82,0.079,7.62,77.95,thermal_sensor failed after a 72-hour electrical_fault pattern connected to power relay fault. Sensor rows in that window carry related_failure_id=F00022.,reset and recalibrate sensor
F00023,M010,2020-03-22T14:13:00,bobbin_case,13.63,Major,1,1,1,overheating,motor overheating,0.78,True,48,61.85,1.621,3.753,45.12,bobbin_case failed after a 48-hour overheating pattern connected to motor overheating. Sensor rows in that window carry related_failure_id=F00023.,schedule immediate service
F00024,M020,2020-03-24T07:29:00,bluetooth_module,10.42,Major,1,1,1,electrical_fault,charging port fault,0.79,True,48,47.97,0.066,0.716,79.16,bluetooth_module failed after a 48-hour electrical_fault pattern connected to charging port fault. Sensor rows in that window carry related_failure_id=F00024.,check power supply and wiring
F00025,M003,2020-03-29T18:25:00,drain_pump,0.73,Minor,1,1,1,pressure_or_airflow,water pressure anomaly,0.86,True,72,75.59,0.202,9.474,75.77,drain_pump failed after a 72-hour pressure_or_airflow pattern connected to water pressure anomaly. Sensor rows in that window carry related_failure_id=F00025.,clean or clear obstruction
F00026,M008,2020-03-30T19:25:00,drive_motor,17.11,Major,1,1,1,blockage_or_jam,paper path obstruction,0.79,True,72,52.06,0.616,3.516,70.68,drive_motor failed after a 72-hour blockage_or_jam pattern connected to paper path obstruction. Sensor rows in that window carry related_failure_id=F00026.,schedule immediate service
F00027,M012,2020-04-01T01:01:27,blade_motor,3.58,Moderate,1,1,1,electrical_fault,charging port fault,0.83,True,72,45.15,0.495,1.131,45.62,blade_motor failed after a 72-hour electrical_fault pattern connected to charging port fault. Sensor rows in that window carry related_failure_id=F00027.,check power supply and wiring
F00028,M005,2020-04-02T11:17:00,image_sensor,1.95,Minor,1,1,1,electrical_fault,power board instability,0.97,False,72,41.16,0.171,1.631,53.01,image_sensor failed after a 72-hour electrical_fault pattern connected to power board instability. Sensor rows in that window carry related_failure_id=F00028.,reset and recalibrate sensor
F00029,M019,2020-04-08T14:19:00,condenser_fan,7.64,Moderate,1,1,1,pressure_or_airflow,door seal leak,0.88,True,72,29.71,0.651,4.908,56.76,condenser_fan failed after a 72-hour pressure_or_airflow pattern connected to door seal leak. Sensor rows in that window carry related_failure_id=F00029.,inspect component and replace if worn
F00030,M013,2020-04-13T19:26:00,blade_assembly,1.15,Minor,1,1,1,blockage_or_jam,blade jam,0.96,True,72,103.26,1.712,6.483,68.39,blade_assembly failed after a 72-hour blockage_or_jam pattern connected to blade jam. Sensor rows in that window carry related_failure_id=F00030.,clean or clear obstruction
F00031,M006,2020-04-13T23:05:52,lens_mount,1.11,Minor,1,1,1,electrical_fault,battery voltage sag,0.93,True,72,45.15,0.129,3.598,70.68,lens_mount failed after a 72-hour electrical_fault pattern connected to battery voltage sag. Sensor rows in that window carry related_failure_id=F00031.,reset and recalibrate sensor
F00032,M017,2020-04-23T13:33:00,power_relay,2.5,Minor,1,1,1,overheating,heating plate degradation,0.95,False,72,103.86,0.08,6.344,73.53,power_relay failed after a 72-hour overheating pattern connected to heating plate degradation. Sensor rows in that window carry related_failure_id=F00032.,check power supply and wiring
F00033,M016,2020-04-26T02:37:00,audio_processor,22.78,Major,1,1,1,electrical_fault,power input noise,0.89,False,72,66.97,0.204,1.49,75.63,audio_processor failed after a 72-hour electrical_fault pattern connected to power input noise. Sensor rows in that window carry related_failure_id=F00033.,reset and recalibrate sensor
F00034,M002,2020-04-26T09:40:00,motor,11.76,Major,1,1,1,blockage_or_jam,brush roll jam,0.97,False,48,61.37,0.831,9.811,64.71,motor failed after a 48-hour blockage_or_jam pattern connected to brush roll jam. Sensor rows in that window carry related_failure_id=F00034.,schedule immediate service
F00035,M007,2020-04-28T22:32:00,imaging_drum,1.72,Minor,1,1,1,overheating,fuser overheating,0.9,True,72,182.35,0.987,11.938,41.58,imaging_drum failed after a 72-hour overheating pattern connected to fuser overheating. Sensor rows in that window carry related_failure_id=F00035.,inspect component and replace if worn
F00036,M017,2020-05-01T10:48:00,power_relay,24.0,Major,1,1,1,overheating,heating plate degradation,0.82,True,72,105.38,0.111,6.314,77.13,power_relay failed after a 72-hour overheating pattern connected to heating plate degradation. Sensor rows in that window carry related_failure_id=F00036.,inspect component and replace if worn
F00037,M020,2020-05-03T21:27:00,audio_driver,1.26,Minor,1,1,1,sensor_or_control,audio driver distortion,0.82,True,72,43.61,0.068,0.576,77.91,audio_driver failed after a 72-hour sensor_or_control pattern connected to audio driver distortion. Sensor rows in that window carry related_failure_id=F00037.,reset and recalibrate sensor
F00038,M019,2020-05-05T15:16:00,thermostat,1.7,Minor,1,1,1,sensor_or_control,thermostat drift,0.84,True,72,30.84,0.675,4.823,59.5,thermostat failed after a 72-hour sensor_or_control pattern connected to thermostat drift. Sensor rows in that window carry related_failure_id=F00038.,reset and recalibrate sensor
F00039,M019,2020-05-07T12:05:00,thermostat,6.59,Moderate,1,1,1,wear_or_lubrication,condenser fan imbalance,0.81,True,72,26.65,1.867,5.083,41.04,thermostat failed after a 72-hour wear_or_lubrication pattern connected to condenser fan imbalance. Sensor rows in that window carry related_failure_id=F00039.,top up lubricant and inspect bearings
F00040,M017,2020-05-09T20:14:00,thermal_sensor,8.5,Moderate,1,1,1,electrical_fault,power relay fault,0.94,True,96,72.35,0.075,8.371,78.48,thermal_sensor failed after a 96-hour electrical_fault pattern connected to power relay fault. Sensor rows in that window carry related_failure_id=F00040.,reset and recalibrate sensor
F00041,M004,2020-05-14T16:10:00,speaker_driver,45.12,Critical,1,1,1,overheating,amplifier overheating,0.78,True,72,77.3,0.031,4.399,85.66,speaker_driver failed after a 72-hour overheating pattern connected to amplifier overheating. Sensor rows in that window carry related_failure_id=F00041.,schedule immediate service
F00042,M020,2020-05-15T17:56:00,battery_pack,1.59,Minor,1,1,1,electrical_fault,charging port fault,0.92,True,48,42.71,0.061,0.528,79.74,battery_pack failed after a 48-hour electrical_fault pattern connected to charging port fault. Sensor rows in that window carry related_failure_id=F00042.,reset and recalibrate sensor
F00043,M016,2020-05-16T19:42:15,audio_processor,0.6,Minor,1,1,1,electrical_fault,power input noise,0.97,True,72,75.69,0.189,1.104,80.56,audio_processor failed after a 72-hour electrical_fault pattern connected to power input noise. Sensor rows in that window carry related_failure_id=F00043.,check power supply and wiring
F00044,M013,2020-05-20T18:03:00,blade_assembly,7.06,Moderate,1,1,1,pressure_or_airflow,jar seal leak,0.79,True,72,80.31,1.166,6.929,67.45,blade_assembly failed after a 72-hour pressure_or_airflow pattern connected to jar seal leak. Sensor rows in that window carry related_failure_id=F00044.,clean or clear obstruction
F00045,M008,2020-05-24T06:37:00,paper_path_sensor,8.04,Moderate,1,1,1,overheating,scan head overheating,0.81,False,24,58.72,0.825,3.474,75.18,paper_path_sensor failed after a 24-hour overheating pattern connected to scan head overheating. Sensor rows in that window carry related_failure_id=F00045.,inspect component and replace if worn
F00046,M014,2020-05-25T21:56:00,battery_pack,19.19,Major,1,1,1,sensor_or_control,keypad fault,0.84,True,72,44.0,0.044,0.259,83.62,battery_pack failed after a 72-hour sensor_or_control pattern connected to keypad fault. Sensor rows in that window carry related_failure_id=F00046.,reset and recalibrate sensor
F00047,M013,2020-05-28T14:46:45,blade_assembly,7.07,Moderate,1,1,1,blockage_or_jam,blade jam,0.97,True,72,89.23,1.617,6.893,69.86,blade_assembly failed after a 72-hour blockage_or_jam pattern connected to blade jam. Sensor rows in that window carry related_failure_id=F00047.,clean or clear obstruction
F00048,M005,2020-06-09T02:50:00,image_sensor,1.72,Minor,1,1,1,electrical_fault,power board instability,0.78,True,72,50.07,0.402,1.433,41.31,image_sensor failed after a 72-hour electrical_fault pattern connected to power board instability. Sensor rows in that window carry related_failure_id=F00048.,check power supply and wiring
F00049,M006,2020-06-14T08:32:00,lens_mount,60.0,Critical,1,1,1,electrical_fault,battery voltage sag,0.79,True,72,47.66,0.206,3.571,52.04,lens_mount failed after a 72-hour electrical_fault pattern connected to battery voltage sag. Sensor rows in that window carry related_failure_id=F00049.,reset and recalibrate sensor
F00050,M015,2020-06-14T11:07:00,refrigerant_loop,20.32,Major,1,1,1,wear_or_lubrication,fan motor bearing wear,0.97,True,48,51.04,1.105,11.372,28.85,refrigerant_loop failed after a 48-hour wear_or_lubrication pattern connected to fan motor bearing wear. Sensor rows in that window carry related_failure_id=F00050.,inspect component and replace if worn
F00051,M007,2020-06-16T20:35:00,imaging_drum,0.83,Minor,1,1,1,blockage_or_jam,paper feed jam,0.92,False,72,91.83,1.993,10.983,40.27,imaging_drum failed after a 72-hour blockage_or_jam pattern connected to paper feed jam. Sensor rows in that window carry related_failure_id=F00051.,clean or clear obstruction
F00052,M005,2020-06-17T18:49:00,image_sensor,23.44,Major,1,1,1,wear_or_lubrication,pan tilt motor binding,0.86,True,72,53.31,0.189,1.306,25.28,image_sensor failed after a 72-hour wear_or_lubrication pattern connected to pan tilt motor binding. Sensor rows in that window carry related_failure_id=F00052.,inspect component and replace if worn
F00053,M014,2020-06-18T08:10:00,battery_pack,0.92,Minor,1,1,1,sensor_or_control,speaker fault,0.77,True,72,40.34,0.046,0.283,79.74,battery_pack failed after a 72-hour sensor_or_control pattern connected to speaker fault. Sensor rows in that window carry related_failure_id=F00053.,reset and recalibrate sensor
F00054,M006,2020-06-21T20:30:00,lens_mount,6.39,Moderate,1,1,1,electrical_fault,battery voltage sag,0.92,True,72,46.47,0.222,3.397,50.83,lens_mount failed after a 72-hour electrical_fault pattern connected to battery voltage sag. Sensor rows in that window carry related_failure_id=F00054.,reset and recalibrate sensor
F00055,M012,2020-06-27T01:54:00,blade_motor,1.41,Minor,1,1,1,electrical_fault,battery degradation,0.84,True,72,41.46,0.533,1.211,45.17,blade_motor failed after a 72-hour electrical_fault pattern connected to battery degradation. Sensor rows in that window carry related_failure_id=F00055.,check power supply and wiring
F00056,M003,2020-07-06T05:49:00,drain_pump,17.17,Major,1,1,1,overheating,heater fault,0.91,True,72,78.42,0.312,9.52,66.84,drain_pump failed after a 72-hour overheating pattern connected to heater fault. Sensor rows in that window carry related_failure_id=F00056.,inspect component and replace if worn
F00057,M003,2020-07-06T19:29:00,circulation_pump,8.5,Moderate,1,1,1,blockage_or_jam,drain restriction,0.81,True,72,64.42,0.397,9.692,71.13,circulation_pump failed after a 72-hour blockage_or_jam pattern connected to drain restriction. Sensor rows in that window carry related_failure_id=F00057.,schedule immediate service
F00058,M015,2020-07-11T15:13:17,refrigerant_loop,2.5,Minor,1,1,1,wear_or_lubrication,fan motor bearing wear,0.77,True,24,55.17,1.954,13.169,27.88,refrigerant_loop failed after a 24-hour wear_or_lubrication pattern connected to fan motor bearing wear. Sensor rows in that window carry related_failure_id=F00058.,top up lubricant and inspect bearings
F00059,M020,2020-07-14T03:14:00,audio_driver,12.29,Major,1,1,1,sensor_or_control,audio driver distortion,0.79,True,72,47.12,0.062,0.475,79.64,audio_driver failed after a 72-hour sensor_or_control pattern connected to audio driver distortion. Sensor rows in that window carry related_failure_id=F00059.,check power supply and wiring
F00060,M018,2020-07-15T01:07:00,lcd_display,14.09,Major,1,1,1,electrical_fault,battery low voltage,0.99,True,72,32.53,0.024,0.02,80.2,lcd_display failed after a 72-hour electrical_fault pattern connected to battery low voltage. Sensor rows in that window carry related_failure_id=F00060.,check power supply and wiring
F00061,M015,2020-07-20T01:09:00,refrigerant_loop,1.79,Minor,1,1,1,wear_or_lubrication,fan motor bearing wear,0.92,False,72,54.35,0.892,11.642,35.31,refrigerant_loop failed after a 72-hour wear_or_lubrication pattern connected to fan motor bearing wear. Sensor rows in that window carry related_failure_id=F00061.,top up lubricant and inspect bearings
F00062,M009,2020-07-21T22:33:00,extractor_fan,2.17,Minor,1,1,1,sensor_or_control,temperature sensor drift,0.95,True,72,141.94,0.36,15.793,57.41,extractor_fan failed after a 72-hour sensor_or_control pattern connected to temperature sensor drift. Sensor rows in that window carry related_failure_id=F00062.,reset and recalibrate sensor
F00063,M013,2020-07-22T01:38:00,jar_seal,3.64,Moderate,1,1,1,pressure_or_airflow,jar seal leak,0.89,True,72,93.94,3.377,6.404,59.2,jar_seal failed after a 72-hour pressure_or_airflow pattern connected to jar seal leak. Sensor rows in that window carry related_failure_id=F00063.,clean or clear obstruction
F00064,M005,2020-07-23T06:32:00,power_board,1.1,Minor,1,1,1,wear_or_lubrication,pan tilt motor binding,0.84,True,72,50.74,0.456,1.519,56.53,power_board failed after a 72-hour wear_or_lubrication pattern connected to pan tilt motor binding. Sensor rows in that window carry related_failure_id=F00064.,top up lubricant and inspect bearings
F00065,M011,2020-07-23T22:17:00,magnetron,2.19,Minor,1,1,1,sensor_or_control,door interlock fault,0.78,True,72,64.84,0.24,9.436,70.87,magnetron failed after a 72-hour sensor_or_control pattern connected to door interlock fault. Sensor rows in that window carry related_failure_id=F00065.,check power supply and wiring
F00066,M017,2020-07-29T16:34:00,thermal_sensor,39.49,Critical,1,1,1,pressure_or_airflow,lid seal leak,0.79,False,96,103.68,0.079,7.008,72.09,thermal_sensor failed after a 96-hour pressure_or_airflow pattern connected to lid seal leak. Sensor rows in that window carry related_failure_id=F00066.,inspect component and replace if worn
F00067,M016,2020-08-11T22:20:00,trigger_sensor,1.66,Minor,1,1,1,sensor_or_control,trigger sensor drift,0.81,True,72,59.87,0.183,1.169,73.57,trigger_sensor failed after a 72-hour sensor_or_control pattern connected to trigger sensor drift. Sensor rows in that window carry related_failure_id=F00067.,check power supply and wiring
F00068,M009,2020-08-12T21:29:00,temperature_sensor,49.03,Critical,1,1,1,overheating,induction coil overheating,0.85,True,72,138.22,0.357,19.161,50.79,temperature_sensor failed after a 72-hour overheating pattern connected to induction coil overheating. Sensor rows in that window carry related_failure_id=F00068.,check power supply and wiring
F00069,M011,2020-08-24T05:07:00,magnetron,5.26,Moderate,1,1,1,sensor_or_control,door interlock fault,0.95,True,24,55.77,0.225,9.212,69.99,magnetron failed after a 24-hour sensor_or_control pattern connected to door interlock fault. Sensor rows in that window carry related_failure_id=F00069.,check power supply and wiring
F00070,M018,2020-08-27T00:52:00,keypad_matrix,37.71,Critical,1,1,1,electrical_fault,battery low voltage,0.98,True,72,39.3,0.036,0.219,81.26,keypad_matrix failed after a 72-hour electrical_fault pattern connected to battery low voltage. Sensor rows in that window carry related_failure_id=F00070.,reset and recalibrate sensor
F00071,M017,2020-09-02T12:16:00,power_relay,22.77,Major,1,1,1,pressure_or_airflow,lid seal leak,0.88,True,48,92.56,0.067,7.266,78.66,power_relay failed after a 48-hour pressure_or_airflow pattern connected to lid seal leak. Sensor rows in that window carry related_failure_id=F00071.,inspect component and replace if worn
F00072,M005,2020-09-02T19:00:00,power_board,20.74,Major,1,1,1,sensor_or_control,network module fault,0.91,True,72,51.68,0.286,1.369,46.46,power_board failed after a 72-hour sensor_or_control pattern connected to network module fault. Sensor rows in that window carry related_failure_id=F00072.,reset and recalibrate sensor
F00073,M007,2020-09-05T14:25:22,imaging_drum,1.09,Minor,1,1,1,overheating,fuser overheating,0.83,True,72,150.48,1.71,10.985,44.4,imaging_drum failed after a 72-hour overheating pattern connected to fuser overheating. Sensor rows in that window carry related_failure_id=F00073.,inspect component and replace if worn
F00074,M014,2020-09-11T13:35:00,keypad,16.58,Major,1,1,1,electrical_fault,charging contact corrosion,0.87,True,72,42.11,0.049,0.384,80.69,keypad failed after a 72-hour electrical_fault pattern connected to charging contact corrosion. Sensor rows in that window carry related_failure_id=F00074.,reset and recalibrate sensor
F00075,M005,2020-09-20T00:57:00,power_board,2.41,Minor,1,1,1,electrical_fault,power board instability,0.93,True,24,47.67,0.06,1.496,50.92,power_board failed after a 24-hour electrical_fault pattern connected to power board instability. Sensor rows in that window carry related_failure_id=F00075.,check power supply and wiring
F00076,M009,2020-09-23T05:48:59,induction_coil,0.85,Minor,1,1,1,electrical_fault,power module fault,0.85,True,72,147.08,0.333,25.0,50.44,induction_coil failed after a 72-hour electrical_fault pattern connected to power module fault. Sensor rows in that window carry related_failure_id=F00076.,reset and recalibrate sensor
F00077,M015,2020-09-23T06:48:00,control_board,8.5,Moderate,1,1,1,electrical_fault,control board fault,0.95,True,72,59.68,0.728,15.624,41.47,control_board failed after a 72-hour electrical_fault pattern connected to control board fault. Sensor rows in that window carry related_failure_id=F00077.,check power supply and wiring
F00078,M016,2020-10-04T11:48:26,audio_processor,8.5,Moderate,1,1,1,sensor_or_control,trigger sensor drift,0.86,True,72,46.66,0.198,1.096,79.66,audio_processor failed after a 72-hour sensor_or_control pattern connected to trigger sensor drift. Sensor rows in that window carry related_failure_id=F00078.,check power supply and wiring
F00079,M012,2020-10-05T17:38:00,foil_head,8.5,Moderate,1,1,1,electrical_fault,battery degradation,0.77,True,72,48.56,0.511,1.272,53.18,foil_head failed after a 72-hour electrical_fault pattern connected to battery degradation. Sensor rows in that window carry related_failure_id=F00079.,reset and recalibrate sensor
F00080,M013,2020-10-08T16:37:00,coupler,7.43,Moderate,1,1,1,overheating,motor overheating,0.84,True,72,85.19,1.462,7.061,43.25,coupler failed after a 72-hour overheating pattern connected to motor overheating. Sensor rows in that window carry related_failure_id=F00080.,check power supply and wiring
F00081,M016,2020-10-09T09:39:47,trigger_sensor,1.71,Minor,1,1,1,electrical_fault,power input noise,0.91,True,72,48.49,0.206,1.508,81.18,trigger_sensor failed after a 72-hour electrical_fault pattern connected to power input noise. Sensor rows in that window carry related_failure_id=F00081.,check power supply and wiring
F00082,M009,2020-10-10T11:31:00,extractor_fan,8.05,Moderate,1,1,1,sensor_or_control,temperature sensor drift,0.97,True,72,175.7,0.3,17.286,53.5,extractor_fan failed after a 72-hour sensor_or_control pattern connected to temperature sensor drift. Sensor rows in that window carry related_failure_id=F00082.,check power supply and wiring
F00083,M019,2020-10-14T13:06:00,condenser_fan,24.0,Major,1,1,1,pressure_or_airflow,door seal leak,0.83,True,72,29.57,0.488,5.182,39.51,condenser_fan failed after a 72-hour pressure_or_airflow pattern connected to door seal leak. Sensor rows in that window carry related_failure_id=F00083.,inspect component and replace if worn
F00084,M016,2020-10-16T14:10:00,power_input,37.36,Critical,1,1,1,sensor_or_control,trigger sensor drift,0.82,True,72,55.25,0.197,1.378,78.71,power_input failed after a 72-hour sensor_or_control pattern connected to trigger sensor drift. Sensor rows in that window carry related_failure_id=F00084.,check power supply and wiring
F00085,M008,2020-10-17T21:49:00,drive_motor,15.41,Major,1,1,1,blockage_or_jam,paper path obstruction,0.85,True,96,45.59,0.875,3.125,52.43,drive_motor failed after a 96-hour blockage_or_jam pattern connected to paper path obstruction. Sensor rows in that window carry related_failure_id=F00085.,clean or clear obstruction
F00086,M009,2020-10-19T19:14:00,induction_coil,2.34,Minor,1,1,1,sensor_or_control,temperature sensor drift,0.91,True,48,131.88,0.353,20.328,47.01,induction_coil failed after a 48-hour sensor_or_control pattern connected to temperature sensor drift. Sensor rows in that window carry related_failure_id=F00086.,reset and recalibrate sensor
F00087,M001,2020-10-27T21:03:00,door_seal,3.54,Moderate,1,1,1,sensor_or_control,thermal sensor drift,0.76,True,72,255.32,0.098,15.344,71.78,door_seal failed after a 72-hour sensor_or_control pattern connected to thermal sensor drift. Sensor rows in that window carry related_failure_id=F00087.,reset and recalibrate sensor
F00088,M002,2020-11-01T08:02:00,hose,4.83,Moderate,1,1,1,blockage_or_jam,airflow restriction,0.86,False,96,83.48,2.534,9.113,62.58,hose failed after a 96-hour blockage_or_jam pattern connected to airflow restriction. Sensor rows in that window carry related_failure_id=F00088.,schedule immediate service
F00089,M007,2020-11-08T07:46:11,imaging_drum,21.71,Major,1,1,1,blockage_or_jam,paper feed jam,0.92,True,96,163.79,1.879,10.594,49.24,imaging_drum failed after a 96-hour blockage_or_jam pattern connected to paper feed jam. Sensor rows in that window carry related_failure_id=F00089.,schedule immediate service
F00090,M017,2020-11-16T07:54:00,thermal_sensor,1.74,Minor,1,1,1,sensor_or_control,thermal sensor drift,0.96,True,24,87.46,0.093,7.303,71.28,thermal_sensor failed after a 24-hour sensor_or_control pattern connected to thermal sensor drift. Sensor rows in that window carry related_failure_id=F00090.,reset and recalibrate sensor
F00091,M016,2020-11-16T21:38:00,power_input,8.01,Moderate,1,1,1,sensor_or_control,trigger sensor drift,0.9,True,72,78.82,0.195,1.023,78.4,power_input failed after a 72-hour sensor_or_control pattern connected to trigger sensor drift. Sensor rows in that window carry related_failure_id=F00091.,check power supply and wiring
F00092,M008,2020-11-17T07:29:00,feed_roller,15.68,Major,1,1,1,overheating,scan head overheating,0.82,False,72,60.03,0.453,3.426,58.69,feed_roller failed after a 72-hour overheating pattern connected to scan head overheating. Sensor rows in that window carry related_failure_id=F00092.,check power supply and wiring
F00093,M010,2020-11-25T02:29:00,feed_dog,1.3,Minor,1,1,1,wear_or_lubrication,insufficient lubrication,0.84,True,72,103.08,1.599,3.642,49.87,feed_dog failed after a 72-hour wear_or_lubrication pattern connected to insufficient lubrication. Sensor rows in that window carry related_failure_id=F00093.,top up lubricant and inspect bearings
